,Tatneft_Год отч_2018.txt,NOVATEC_Год отч_2014.txt,NOVATEC_Год отч_2015.txt,NOVATEC_Год отч_2017.txt,Fosagro_Год отч_2018.txt,Metalloinvest_ Год отч_2018.txt,Rusal_Год отч_2018.txt,NOVATEC_Год отч_2016.txt,Gazprom_Год отч_2017.txt,MMK_Год отч_2014.txt,MMK_Год отч_2015.txt,Gazprom_Год отч_2016.txt,Gazprom_Год отч_2014.txt,MMK_Год отч_2017.txt,MMK_Год отч_2016.txt,Gazprom_Год отч_2015.txt,Rosneft_Год отч_2017.txt,Rushidro_Год отчёт_2015.txt,Uralkalii_2016.txt,Uralkalii_2017.txt,Rushidro_Год отчёт_2014.txt,Rosneft_Год отч_2016.txt,Rosneft_Год отч_2014.txt,Rushidro_Год отчёт_2016.txt,Uralkalii_2015.txt,Uralkalii_2014.txt,Rushidro_Год отчёт_2017.txt,Polyus_Год отч_2018.txt,Rosneft_Год отч_2015.txt,Lukoil_Год отч_2018.txt,Aeroflot_Год отч_2014.txt,ALROSA_2016.txt,SeverStal_год отч_2018.txt,ALROSA_2017.txt,Aeroflot_Год отч_2015.txt,NorNickel_Год отч_2018.txt,Aeroflot_Год отч_2017.txt,ALROSA_2015.txt,ALROSA_2014.txt,Acron_Год отч_2018.txt,Aeroflot_Год отч_2016.txt,NorNickel_Год отч_2016.txt,Lukoil_Год отч_2017.txt,Acron_Год отч_2015.txt,SeverStal_год отч_2017.txt,SeverStal_год отч_2016.txt,ALROSA_2018.txt,Acron_Год отч_2014.txt,Lukoil_Год отч_2016.txt,NorNickel_Год отч_2017.txt,NorNickel_Год отч_2015.txt,Aeroflot_Год отч_2018.txt,Lukoil_Год отч_2014.txt,Acron_Год отч_2016.txt,SeverStal_год отч_2014.txt,SeverStal_год отч_2015.txt,AR_2015_rus.txt,Acron_Год отч_2017.txt,Lukoil_Год отч_2015.txt,NorNickel_Год отч_2014.txt,Rosneft_Год отч_2018.txt,Polyus_Год отч_2015.txt,Uralkalii_2018.txt,Polyus_Год отч_2014.txt,Polyus_Год отч_2016.txt,Rushidro_Год отчёт_2018.txt,Polyus_Год отч_2017.txt,Gazprom_Год отч_2018.txt,MMK_Год отч_2018.txt,Tatneft_Год отч_2017.txt,Metalloinvest_ Год отч_2014.txt,Fosagro_Год отч_2014.txt,Rusal_Год отч_2015.txt,Rusal_Год отч_2014.txt,Fosagro_Год отч_2015.txt,Metalloinvest_ Год отч_2015.txt,Tatneft_Год отч_2016.txt,Tatneft_Год отч_2014.txt,NOVATEC_Год отч_2018.txt,Fosagro_Год отч_2017.txt,Metalloinvest_ Год отч_2017.txt,Rusal_Год отч_2016.txt,Rusal_Год отч_2017.txt,Metalloinvest_ Год отч_2016.txt,Fosagro_Год отч_2016.txt,Tatneft_Год отч_2015.txt
наблюдательный совет,1,4,5,0,4,0,0,7,1,2,2,2,0,2,1,0,14,16,1,0,8,6,16,13,1,0,16,9,6,23,1,652,5,704,1,5,7,579,494,0,6,4,34,1,6,5,540,1,16,7,3,6,18,0,4,5,1,0,16,0,19,0,0,0,0,15,0,1,2,2,0,0,0,0,0,0,3,2,4,5,0,0,0,0,0,2
коррупция,6,3,4,25,21,11,0,4,28,0,0,29,9,0,0,9,18,15,3,2,10,11,6,11,3,3,30,8,10,9,13,3,10,2,22,17,54,1,3,11,59,35,6,15,12,7,4,3,4,19,14,130,1,13,0,1,3,11,4,4,19,1,2,1,1,34,19,25,0,1,0,7,0,0,9,1,7,2,4,7,2,0,0,5,8,3
независимый директор,63,7,25,2,27,6,0,30,25,8,10,28,10,16,15,10,56,14,62,54,15,57,43,4,60,29,19,43,38,58,22,37,11,48,45,78,69,48,29,39,49,61,62,41,14,14,37,43,63,65,24,56,38,41,26,21,60,38,55,15,57,32,44,12,39,19,54,24,18,57,1,17,0,0,16,3,48,24,44,15,1,0,0,2,9,31
комитет по управление риска,1,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,8,0,1,1,0,4,0,0,1,0,0,1,0,1,0,1,3,1,1,1,1,1,0,0,1,0,1,0,3,2,1,0,1,1,0,1,0,0,3,3,1,0,1,0,4,1,1,0,1,0,1,0,0,1,0,16,0,0,13,0,1,0,1,8,0,0,0,0,8,0
комитет по охрана труд,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,5,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,1,4,0,7,0,0,0,0,8,3
общий собрание акционер,93,31,44,28,43,1,0,52,38,27,29,88,94,44,41,71,114,23,39,53,28,79,88,29,28,34,37,46,112,80,33,73,10,105,57,87,62,112,62,67,57,391,88,43,12,13,70,57,85,83,72,63,67,59,38,32,28,55,65,499,77,13,55,15,40,25,61,49,54,68,5,38,0,0,40,2,59,34,53,50,0,0,0,2,42,54
кодекс корпоративный управление,24,6,53,4,12,2,0,10,14,6,4,17,17,8,5,12,26,19,16,4,9,27,44,18,12,6,20,10,76,24,53,29,7,39,12,17,27,31,62,29,21,27,35,33,7,6,29,87,41,27,25,27,56,34,15,15,12,32,30,16,21,5,7,19,10,13,9,11,5,16,0,6,0,0,7,1,21,32,7,10,0,0,0,0,12,21
голосование,17,0,7,0,4,0,0,4,4,5,3,6,3,6,2,2,17,1,7,10,1,12,11,3,7,3,3,28,14,22,7,30,3,37,10,28,8,39,24,9,8,28,23,0,3,5,18,10,17,17,22,11,13,5,11,11,7,5,9,14,11,5,11,3,7,2,23,10,11,16,1,6,0,0,6,0,7,8,7,4,4,0,0,1,5,3
созывать,2,1,1,1,3,0,0,2,1,2,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,2,1,1,1,0,0,0,0,0,1,1,2,1,1,2,0,0,0,2,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,2,2,0,0,0,0,1,1
член совет,142,45,95,38,99,5,0,120,78,48,52,96,91,60,65,98,175,29,135,136,35,161,194,87,131,58,88,108,167,221,123,75,35,275,187,263,119,111,39,80,330,187,248,50,38,51,230,86,257,235,159,131,203,62,66,59,131,93,211,55,151,127,135,90,137,92,124,86,55,207,8,26,0,0,27,16,165,68,116,87,6,0,0,7,24,76
