,Tatneft_Год отч_2018.txt,NOVATEC_Год отч_2014.txt,NOVATEC_Год отч_2015.txt,NOVATEC_Год отч_2017.txt,Fosagro_Год отч_2018.txt,Metalloinvest_ Год отч_2018.txt,Rusal_Год отч_2018.txt,NOVATEC_Год отч_2016.txt,Gazprom_Год отч_2017.txt,MMK_Год отч_2014.txt,MMK_Год отч_2015.txt,Gazprom_Год отч_2016.txt,Gazprom_Год отч_2014.txt,MMK_Год отч_2017.txt,MMK_Год отч_2016.txt,Gazprom_Год отч_2015.txt,Rosneft_Год отч_2017.txt,Rushidro_Год отчёт_2015.txt,Uralkalii_2016.txt,Uralkalii_2017.txt,Rushidro_Год отчёт_2014.txt,Rosneft_Год отч_2016.txt,Rosneft_Год отч_2014.txt,Rushidro_Год отчёт_2016.txt,Uralkalii_2015.txt,Uralkalii_2014.txt,Rushidro_Год отчёт_2017.txt,Polyus_Год отч_2018.txt,Rosneft_Год отч_2015.txt,Lukoil_Год отч_2018.txt,Aeroflot_Год отч_2014.txt,ALROSA_2016.txt,SeverStal_год отч_2018.txt,ALROSA_2017.txt,Aeroflot_Год отч_2015.txt,NorNickel_Год отч_2018.txt,Aeroflot_Год отч_2017.txt,ALROSA_2015.txt,ALROSA_2014.txt,Acron_Год отч_2018.txt,Aeroflot_Год отч_2016.txt,NorNickel_Год отч_2016.txt,Lukoil_Год отч_2017.txt,Acron_Год отч_2015.txt,SeverStal_год отч_2017.txt,SeverStal_год отч_2016.txt,ALROSA_2018.txt,Acron_Год отч_2014.txt,Lukoil_Год отч_2016.txt,NorNickel_Год отч_2017.txt,NorNickel_Год отч_2015.txt,Aeroflot_Год отч_2018.txt,Lukoil_Год отч_2014.txt,Acron_Год отч_2016.txt,SeverStal_год отч_2014.txt,SeverStal_год отч_2015.txt,AR_2015_rus.txt,Acron_Год отч_2017.txt,Lukoil_Год отч_2015.txt,NorNickel_Год отч_2014.txt,Rosneft_Год отч_2018.txt,Polyus_Год отч_2015.txt,Uralkalii_2018.txt,Polyus_Год отч_2014.txt,Polyus_Год отч_2016.txt,Rushidro_Год отчёт_2018.txt,Polyus_Год отч_2017.txt,Gazprom_Год отч_2018.txt,MMK_Год отч_2018.txt,Tatneft_Год отч_2017.txt,Metalloinvest_ Год отч_2014.txt,Fosagro_Год отч_2014.txt,Rusal_Год отч_2015.txt,Rusal_Год отч_2014.txt,Fosagro_Год отч_2015.txt,Metalloinvest_ Год отч_2015.txt,Tatneft_Год отч_2016.txt,Tatneft_Год отч_2014.txt,NOVATEC_Год отч_2018.txt,Fosagro_Год отч_2017.txt,Metalloinvest_ Год отч_2017.txt,Rusal_Год отч_2016.txt,Rusal_Год отч_2017.txt,Metalloinvest_ Год отч_2016.txt,Fosagro_Год отч_2016.txt,Tatneft_Год отч_2015.txt
выброс парниковый газ,7,2,2,27,6,1,0,3,4,0,0,18,9,0,0,10,1,0,4,4,2,1,0,0,5,6,12,3,0,16,0,3,9,4,5,15,6,0,0,0,7,0,22,0,1,1,5,0,11,7,0,16,0,0,3,1,5,0,5,0,11,0,4,0,0,18,42,8,0,1,1,0,0,0,1,2,0,3,3,3,0,0,0,0,0,0
переработка отход,3,1,2,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,2,2,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2
сточный вод,2,0,0,6,17,3,0,0,6,0,0,8,5,3,4,5,3,7,2,2,0,1,7,3,2,1,5,0,2,10,2,4,1,5,2,5,3,4,1,13,2,10,4,5,1,0,7,14,6,8,7,3,5,6,2,2,2,7,6,4,5,0,2,0,0,7,7,5,6,1,1,2,0,0,5,1,8,9,7,12,0,0,0,1,8,9
энергоноситель,1,3,0,0,1,0,0,0,4,2,1,4,4,0,0,10,2,3,0,0,2,3,0,3,1,0,1,0,1,1,0,0,5,0,0,2,0,0,0,1,0,0,1,1,9,6,0,0,1,0,0,0,4,2,4,6,1,0,1,0,2,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
исчезать вид,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
очистка сточный вод,1,0,0,1,0,2,0,0,1,0,0,3,2,0,0,2,1,0,1,1,0,1,3,0,1,1,1,0,1,1,0,1,1,2,0,0,0,2,0,2,0,0,0,2,1,0,0,3,0,0,1,0,0,1,0,0,1,2,0,0,3,0,1,0,0,3,1,0,2,0,1,0,0,0,0,0,2,1,2,2,0,0,0,0,2,2
возобновлять источник,5,0,0,4,0,0,0,0,6,0,0,5,6,0,0,7,2,14,0,0,16,0,0,9,0,0,18,0,1,5,0,0,2,0,0,18,0,0,0,0,0,8,12,0,0,0,0,0,3,13,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
изменение климат,9,1,1,2,0,0,0,1,2,0,0,3,2,0,0,2,2,0,2,1,0,3,0,0,1,1,5,1,1,5,0,0,5,0,0,11,2,0,0,0,0,0,6,0,2,1,0,0,2,0,0,6,1,0,1,0,1,0,0,0,3,0,4,0,0,7,6,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1
валовый выброс,8,0,0,0,2,0,0,0,1,3,4,1,1,4,5,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,2,0,1,0,0,0,0,3,2,0,3,0,0,0,0,0,3
негативный воздействие,5,4,5,9,11,2,0,4,7,1,4,9,7,4,4,9,9,4,4,4,4,6,13,3,3,2,8,5,4,5,5,4,0,3,5,6,5,1,5,7,7,3,3,4,0,0,4,3,3,0,3,2,4,5,1,1,3,5,4,0,1,0,5,1,1,6,39,4,4,1,2,9,0,0,10,3,3,2,3,13,5,0,0,4,12,3
